sz,主板,000028,国药一致,1993-08-09,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,广东省深圳市福田区八卦四路15号一致药业大楼,www.szaccord.com.cn,"373,241,383","367,733,625",华南,广东,深圳市,F 批发零售
sz,主板,000029,深深房Ａ,1993-09-15,深圳经济特区房地产(集团)股份有限公司,"ShenZhen Special Economic Zone Real Estate&Properties (Group) Co., Ltd.",广东省深圳市罗湖区人民南路深房广场45-48楼,www.sfjt.com.cn,"891,660,000","891,651,000",华南,广东,深圳市,K 房地产
sz,主板,000030,富奥股份,1993-09-29,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,吉林省长春市汽车经济技术开发区东风南街777号,,"1,762,733,196","1,759,880,870",东北,吉林,长春市,C 制造业
sz,主板,000031,大悦城,1993-10-08,大悦城控股集团股份有限公司,"GRANDJOY HOLDINGS GROUP CO.,LTD.",广东省深圳市宝安区新安街道3区龙井二路3号中粮地产集团中心第1层101室,www.cofco-property.cn,"4,286,313,339","1,813,722,958",华南,广东,深圳市,K 房地产
sz,主板,000032,深桑达Ａ,1993-10-28,深圳市桑达实业股份有限公司,"SHENZHEN SED INDUSTRY CO.,LTD",广东省深圳市南山区科技园科技路1号桑达科技大厦15-17楼,www.sedind.com,"413,219,661","411,424,109",华南,广东,深圳市,F 批发零售
sz,主板,000034,神州数码,1994-05-09,神州数码集团股份有限公司,"Digital China Group Co.,Ltd.",广东省深圳市南山区粤海街道科发路8号金融基地1栋11楼E1,www.digitalchina.com,"659,560,727","497,424,724",华南,广东,深圳市,F 批发零售
sz,主板,000035,中国天楹,1994-04-08,中国天楹股份有限公司, China Tianying Inc.,江苏省海安市黄海大道(西)268号2幢,www.ctyi.com.cn,"2,523,777,297","2,453,345,376",华东,江苏,南通市,N 公共环保
sz,主板,000036,华联控股,1994-06-17,华联控股股份有限公司,CHINA UNION HOLDINGS LTD.,广东省深圳市深南中路2008号华联大厦11层(1103-1109室),www.udcgroup.com,"1,483,934,025","1,479,474,430",华南,广东,深圳市,K 房地产
sz,主板,000037,深南电A,1994-07-01,深圳南山热电股份有限公司,"SHENZHEN NANSHAN POWER STATION CO.,LTD",广东省深圳市南山区月亮湾大道2097号,www.nsrd.com.cn,"338,908,150","338,894,011",华南,广东,深圳市,D 水电煤气
sz,主板,000038,深大通,1994-08-08,深圳大通实业股份有限公司,"SHENZHEN CAPSTONE INDUSTRIAL CO.,LTD.",广东省深圳市南山区科苑中路15号科兴科学园B2栋302室,www.chinadatong.com,"522,777,419","238,177,966",华南,广东,深圳市,L 商务服务
